STATE/UT                  ,YEAR ,AGE_GROUP ,GENDER ,MURDER ,ROBBERY ,KIDNAPP ,FRAUD ,VIOLENCE
ANDAMAN & NICOBAR ISLANDS ,2002 ,Below 18  ,MALE   ,     3 ,     16 ,      1 ,    1 ,       1
ANDAMAN & NICOBAR ISLANDS ,2002 ,Below 18  ,FEMALE ,     0 ,      1 ,      1 ,    1 ,       1
ANDAMAN & NICOBAR ISLANDS ,2002 ,18 to 60  ,MALE   ,    12 ,    140 ,      3 ,   15 ,     120
ANDAMAN & NICOBAR ISLANDS ,2002 ,18 to 60  ,FEMALE ,     3 ,      1 ,      1 ,    1 ,       5
ANDAMAN & NICOBAR ISLANDS ,2002 ,Above 60  ,MALE   ,     0 ,      1 ,      1 ,    1 ,       5
ANDAMAN & NICOBAR ISLANDS ,2002 ,Above 60  ,FEMALE ,     0 ,      1 ,      1 ,    1 ,       1
ANDAMAN & NICOBAR ISLANDS ,2003 ,Below 18  ,MALE   ,     4 ,     19 ,      1 ,    1 ,       1
ANDAMAN & NICOBAR ISLANDS ,2003 ,Below 18  ,FEMALE ,     0 ,      1 ,      1 ,    1 ,       1
ANDAMAN & NICOBAR ISLANDS ,2003 ,18 to 60  ,MALE   ,    15 ,    167 ,      4 ,   16 ,     135
ANDAMAN & NICOBAR ISLANDS ,2003 ,18 to 60  ,FEMALE ,     3 ,      1 ,      1 ,    1 ,       6
ANDAMAN & NICOBAR ISLANDS ,2003 ,Above 60  ,MALE   ,     0 ,      1 ,      1 ,    1 ,       6
ANDAMAN & NICOBAR ISLANDS ,2003 ,Above 60  ,FEMALE ,     0 ,      1 ,      1 ,    1 ,       1
ANDAMAN & NICOBAR ISLANDS ,2004 ,Below 18  ,MALE   ,     3 ,     28 ,      1 ,    1 ,       1
ANDAMAN & NICOBAR ISLANDS ,2004 ,Below 18  ,FEMALE ,     0 ,      1 ,      1 ,    1 ,       1
ANDAMAN & NICOBAR ISLANDS ,2004 ,18 to 60  ,MALE   ,    11 ,    251 ,      6 ,   12 ,     116
ANDAMAN & NICOBAR ISLANDS ,2004 ,18 to 60  ,FEMALE ,     2 ,      1 ,      1 ,    1 ,       5
ANDAMAN & NICOBAR ISLANDS ,2004 ,Above 60  ,MALE   ,     0 ,      1 ,      1 ,    1 ,       5
ANDAMAN & NICOBAR ISLANDS ,2004 ,Above 60  ,FEMALE ,     0 ,      1 ,      1 ,    1 ,       1
ANDAMAN & NICOBAR ISLANDS ,2005 ,Below 18  ,MALE   ,     3 ,     26 ,      1 ,    1 ,       1
ANDAMAN & NICOBAR ISLANDS ,2005 ,Below 18  ,FEMALE ,     0 ,      1 ,      1 ,    1 ,       1
ANDAMAN & NICOBAR ISLANDS ,2005 ,18 to 60  ,MALE   ,    11 ,    231 ,      3 ,   21 ,      92
ANDAMAN & NICOBAR ISLANDS ,2005 ,18 to 60  ,FEMALE ,     2 ,      1 ,      1 ,    1 ,       4
ANDAMAN & NICOBAR ISLANDS ,2005 ,Above 60  ,MALE   ,     0 ,      1 ,      1 ,    1 ,       4
ANDAMAN & NICOBAR ISLANDS ,2005 ,Above 60  ,FEMALE ,     0 ,      1 ,      1 ,    1 ,       1
ANDAMAN & NICOBAR ISLANDS ,2006 ,Below 18  ,MALE   ,     1 ,     29 ,      1 ,    1 ,       1
ANDAMAN & NICOBAR ISLANDS ,2006 ,Below 18  ,FEMALE ,     0 ,      1 ,      1 ,    1 ,       1
ANDAMAN & NICOBAR ISLANDS ,2006 ,18 to 60  ,MALE   ,     3 ,    261 ,     10 ,   22 ,     102
ANDAMAN & NICOBAR ISLANDS ,2006 ,18 to 60  ,FEMALE ,     1 ,      1 ,      1 ,    1 ,       5
ANDAMAN & NICOBAR ISLANDS ,2006 ,Above 60  ,MALE   ,     0 ,      1 ,      1 ,    1 ,       5
ANDAMAN & NICOBAR ISLANDS ,2006 ,Above 60  ,FEMALE ,     0 ,      1 ,      1 ,    1 ,       1
ANDAMAN & NICOBAR ISLANDS ,2007 ,Below 18  ,MALE   ,     1 ,     33 ,      1 ,    1 ,       1
ANDAMAN & NICOBAR ISLANDS ,2007 ,Below 18  ,FEMALE ,    11 ,      1 ,      1 ,    1 ,       1
ANDAMAN & NICOBAR ISLANDS ,2007 ,18 to 60  ,MALE   ,     2 ,    296 ,     21 ,   31 ,     144
ANDAMAN & NICOBAR ISLANDS ,2007 ,18 to 60  ,FEMALE ,     0 ,      1 ,      1 ,    1 ,       6
ANDAMAN & NICOBAR ISLANDS ,2007 ,Above 60  ,MALE   ,     0 ,      1 ,      1 ,    1 ,       6
ANDAMAN & NICOBAR ISLANDS ,2007 ,Above 60  ,FEMALE ,     3 ,      1 ,      1 ,    1 ,       1
ANDAMAN & NICOBAR ISLANDS ,2008 ,Below 18  ,MALE   ,     1 ,     35 ,      0 ,    1 ,       1
ANDAMAN & NICOBAR ISLANDS ,2008 ,Below 18  ,FEMALE ,     7 ,      1 ,      0 ,    1 ,       1
ANDAMAN & NICOBAR ISLANDS ,2008 ,18 to 60  ,MALE   ,     1 ,    314 ,      0 ,   32 ,     161
ANDAMAN & NICOBAR ISLANDS ,2008 ,18 to 60  ,FEMALE ,     0 ,      1 ,      0 ,    1 ,       7
ANDAMAN & NICOBAR ISLANDS ,2008 ,Above 60  ,MALE   ,     0 ,      1 ,      0 ,    1 ,       7
ANDAMAN & NICOBAR ISLANDS ,2008 ,Above 60  ,FEMALE ,     2 ,      1 ,      0 ,    1 ,       1
ANDAMAN & NICOBAR ISLANDS ,2009 ,Below 18  ,MALE   ,    13 ,     37 ,      0 ,    1 ,       1
ANDAMAN & NICOBAR ISLANDS ,2009 ,Below 18  ,FEMALE ,     3 ,      1 ,      0 ,    1 ,       1
